customer_id,full_name,email,phone,address,date_of_birth,age,job,marital,education,has_default,balance,has_housing_loan,has_personal_loan,contact_type,last_contact_day,last_contact_month,last_contact_duration_sec,campaign_contacts,days_since_prev_contact,previous_contacts,previous_outcome,subscribed_deposit,country,zip_code,language
BM-00011,Geza Bloch,michailwende@example.net,+39 0306010948,"Studio 34k, Gavin Roads, Carlyland, ST4 7TN",1948-01-07,78.0,housemaid,married,secondary,unknown,1721.41,no,yes,telephone,16,sep,1696.0,48,93,14,other,no,DE,89822,pt
BM-00012,Rachel Anderson MD,gibertemilio@example.net,+49(0)2240 57201,"Piazza Vigorelli, 43, 47014, Rico' (FC)",1969-08-05,56.0,student,married,primary,yes,347.59,yes,no,cellular,5,dec,1546.0,33,835,15,failure,no,RO,98716,en
BM-00013,Zachary Benson,stefaniabeccaria@example.net,+39 054593030,"51, avenue Benoît Hardy, 29502 Duhamel",,31.0,management,married,unknown,no,3128.41,yes,no,unknown,21,oct,3052.0,9,776,15,success,no,EE,71775,fr
BM-00014,Marine Fernandes,fatihkarz@example.net,+33 (0)5 18 63 07 43,"64687 Taylor Field, West Richard, TN 14557",1962-06-25,63.0,technician,divorced,secondary,yes,2334.55,yes,no,unknown,22,oct,876.0,27,512,13,other,no,BE,38370,de
BM-00015,Nadia Garibaldi,beatricetomasini@example.com,+49(0)9856611440,"Strada Ruggero, 61, 86033, Montefalcone Nel Sannio (CB)",1968-02-07,58.0,blue-collar,single,secondary,unknown,-1058.79,no,yes,cellular,19,dec,271.0,47,137,16,failure,yes,RO,34526,pl
BM-00016,Dr Gerard Kirby,hellmutschaefer@example.net,+34972 95 65 79,"Plaza de Eladio Murcia 43, Jaén, 28476",1967-12-03,58.0,self-employed,divorced,tertiary,yes,5100.55,yes,no,telephone,23,nov,2572.0,30,232,25,failure,no,DK,48765,es
BM-00017,Dominique Lemaire,njackson@example.org,+33 (0)2 51 98 89 96,"Via Griselda, 66 Appartamento 4, 38067, Biacesa Di Ledro (TN)",1987-11-29,38.0,self-employed,divorced,unknown,no,1451.67,no,yes,cellular,3,may,3786.0,9,838,6,other,no,LT,04970,fr
BM-00018,Katherine Griffiths,arnaudlorraine@example.com,05 40 76 27 28,"Steystraße 3-5, 64444 Oberviechtach",1945-05-15,80.0,unemployed,divorced,tertiary,yes,1689.83,no,yes,telephone,3,dec,3038.0,48,414,4,unknown,no,SE,62638,nl
BM-00019,Eric Walls,pergandemohammed@example.com,+34 984157671,"Ronda Ángela Cortés 207 Piso 1 , Ávila, 17031",1974-11-05,51.0,services,divorced,tertiary,unknown,4907.22,no,yes,unknown,11,jul,1027.0,8,233,2,success,no,SE,73500,nl
BM-00020,Laura Caballero Toro,jacobi-jaeckelbeata@example.net,(465)225-5486,"Contrada Redi, 96, 84134, Salerno (SA)",1957-11-13,68.0,admin,divorced,secondary,unknown,1862.16,no,yes,unknown,10,jun,481.0,13,743,11,unknown,no,DE,66408,en
BM-00021,Alexandria du Normand,elma03@example.org,+49(0)8810 504675,"Borgo Panfilo, 95 Piano 7, 46049, Cereta (MN)",1998-11-18,27.0,unemployed,married,primary,no,551.54,yes,yes,telephone,21,jun,3545.0,38,851,23,other,no,LT,57905,en
BM-00022,Susan Olivier,gillesbuisson@example.org,(271)871-5823x397,"Studio 2, Amy Parkways, South Douglasland, CO7 6LP",1981-05-25,44.0,unemployed,married,secondary,unknown,1133.06,yes,no,cellular,8,aug,1320.0,2,342,23,other,yes,AT,12070,fr
BM-00023,Mrs. Stacy Bailey,hans-heinrich99@example.com,+39 37328391424,"Contrada Tiziano, 90 Piano 3, 95016, Nunziata (CT)",,41.0,self-employed,single,secondary,no,3318.48,no,no,unknown,30,mar,1160.0,4,383,22,failure,no,CZ,86550,pt
BM-00024,Iolanda Sabatini,alonzistefania@example.org,(02848) 143620,"1109 Martinez Branch Suite 141, Robertview, LA 59046",1975-01-25,51.0,retired,divorced,unknown,unknown,-6782.87,yes,yes,cellular,25,jan,1929.0,41,810,2,success,no,EE,43306,
BM-00025,Russell Watkins,maryse99@example.com,+34 946 783 821,"Studio 49, Jones Stream, Rossmouth, W61 0SZ",1965-12-08,60.0,self-employed,married,primary,unknown,3518.75,yes,no,telephone,31,may,434.0,24,536,12,unknown,no,SK,80255,pt
BM-00026,Fiamma Maccanelli,sophie13@example.com,+34 921 899 182,"084 Erik Harbor Apt. 823, East Robinport, NV 38882",1991-10-20,34.0,management,divorced,primary,unknown,1245.1,no,no,cellular,11,nov,3973.0,42,377,0,unknown,no,GR,28111,pl
BM-00027,Adam Burton,vdoehn@example.org,+39 098464920,"27, rue Julien Bertrand, 24685 Blin-sur-Mer",1955-03-18,71.0,management,married,unknown,unknown,-1573.25,yes,yes,cellular,10,sep,3267.0,8,582,12,other,no,BE,60688,es
BM-00028,Raissa Holzapfel-Gertz,samanthawilcox@example.com,(020)74960533,"Via Dora Rosa 29, Guadalajara, 15867",2000-11-05,25.0,management,single,unknown,no,-2738.1,no,no,cellular,19,feb,2917.0,28,50,1,failure,no,LV,18954,fr
BM-00029,Francesca Lippomano,kata93@example.org,+34942 582 381,"99, avenue Duhamel, 42510 Colin-les-Bains",1988-07-24,37.0,self-employed,divorced,tertiary,unknown,-2317.99,no,no,unknown,20,mar,1720.0,25,136,9,failure,no,US,64905,es
BM-00030,Charles Gonzalez,sagnellitonino@example.net,+34948 25 90 05,"534 Paul Ridges Suite 573, Port Jocelynland, OK 99683",1996-01-31,30.0,services,divorced,primary,no,1079.77,yes,no,telephone,31,dec,2661.0,36,390,3,other,no,DK,99431,fr
BM-00031,Jerry Moses,tammie28@example.org,+44141 496 0124,"Christiane-Fechner-Straße 69, 62635 Worbis",1993-12-16,32.0,blue-collar,divorced,secondary,unknown,-2174.68,no,no,telephone,16,may,369.0,11,927,5,unknown,no,DK,31119,pl
BM-00032,Susan Stephens,saraferran@example.com,0871143455,"rue de Grenier, 90635 Blanchetnec",2006-11-21,19.0,unemployed,married,tertiary,no,2931.71,no,yes,unknown,13,oct,1214.0,43,64,7,success,no,IE,48310,en
BM-00033,Juan Francisco Cal-Dominguez,perla41@example.com,+49(0)5651 029694,"avenue de Gillet, 62191 Brun",1939-03-01,87.0,admin,divorced,unknown,yes,1461.02,yes,no,unknown,23,jun,2598.0,31,102,9,failure,no,CZ,29255,en
BM-00034,Etelvina Morell,interianoermanno@example.org,+34 978530069,"Alameda de Alexandra Martin 2 Puerta 7 , Badajoz, 03161",1981-01-04,45.0,blue-collar,divorced,primary,unknown,488.53,yes,yes,cellular,11,nov,2387.0,22,233,10,failure,no,SI,96143,fr
BM-00035,Angelo Fantozzi,atextor@example.net,+39 3411209715,"Rambla Flor Contreras 6 Apt. 83 , Córdoba, 12590",1971-09-08,54.0,blue-collar,single,unknown,no,2620.51,no,yes,unknown,2,jul,2300.0,21,400,13,success,no,CY,44338,en
BM-00036,Viktoria Roskoth,florina04@example.org,+39 0784054011,"Flat 33, Bibi Coves, Robinsonview, EN4W 6SD",,37.0,student,divorced,tertiary,no,1030.25,yes,yes,cellular,23,feb,2606.0,9,28,2,other,no,FR,89175,fr
BM-00037,Remigio Mendez Arana,sspence@example.com,+34945 59 13 47,"279 Jenna Prairie, Teresaland, SM91 8BR",1960-03-27,66.0,blue-collar,married,tertiary,no,9426.11,yes,no,unknown,15,nov,3636.0,6,660,8,success,no,GB,03954,en
BM-00038,Dott. Marcella Zacchia,silviosagnelli@example.org,+34822 95 14 97,"Via Francisco Clavero 96 Piso 3 , Tarragona, 07824",1968-11-13,57.0,retired,single,unknown,no,4491.03,no,no,unknown,31,sep,87.0,40,24,22,other,no,SK,83009,pt
BM-00039,Robert Harrison,khunt@example.net,0781431945,"Vicolo Lisa, 13 Piano 0, 80030, Cimitile (NA)",,37.0,self-employed,single,tertiary,unknown,4327.22,yes,no,telephone,24,dec,1574.0,18,95,6,unknown,yes,NL,59968,de
BM-00040,Laura Carter,trentiniisa@example.com,+34843547687,"Callejón Calixto Rosales 3 Puerta 8 , Badajoz, 25701",1994-05-03,31.0,entrepreneur,single,secondary,yes,3121.94,no,no,unknown,18,jul,3873.0,15,424,13,success,no,BE,16987,pt
BM-00041,Kimberly Mitchell,tclement@example.net,(07800) 39267,"Gabriele-Fechner-Straße 6/6, 79335 Stollberg",1960-12-11,65.0,management,divorced,tertiary,unknown,3259.45,no,no,cellular,28,jul,1419.0,49,499,1,success,no,PL,95446,
BM-00042,Martin Walsh,carmeloscarpa@example.net,+33 2 19 68 10 29,"975 James Mills, Lake Reecestad, W2S 9LH",1955-05-17,70.0,entrepreneur,divorced,tertiary,no,2288.17,yes,yes,unknown,21,jan,2910.0,35,89,22,success,no,DK,12151,en
BM-00043,Sig.ra Marta Marzorati,legermichelle@example.net,+34 921 82 22 66,"0 Naomi Crossing, Pageborough, S7G 8WH",1955-07-07,70.0,entrepreneur,divorced,secondary,unknown,-251.69,no,no,cellular,7,jul,381.0,21,810,3,success,no,GB,57132,en
BM-00044,Rossana Vasari,morelvictor@example.com,+1-999-961-3275,"rue de Perret, 89834 Andre",1982-01-19,44.0,services,married,secondary,yes,-4880.96,yes,yes,unknown,14,oct,3789.0,33,796,12,success,no,FR,78782,pl
BM-00045,Monica Canevascini-Scialpi,adlerjonas@example.net,+34 988 505 143,"069 Brewer Way Suite 651, Bartonbury, MS 53720",1949-04-04,77.0,unemployed,married,unknown,yes,5332.43,no,no,telephone,13,mar,,45,191,18,other,no,RO,61305,nl
BM-00046,Hakan Kitzmann B.Sc.,arnulf19@example.org,+34 806 05 15 05,"Vial Sebastián Perelló 23, Girona, 03660",,57.0,self-employed,divorced,primary,unknown,-3217.3,no,no,telephone,17,jun,2537.0,45,889,21,success,no,HR,01943,pt
BM-00047,Raymond Clark,bdupre@example.com,+49 (0) 4123 432375,"Canale Virgilio, 469 Piano 1, 16122, Genova (GE)",,33.0,technician,divorced,primary,unknown,1513.69,no,yes,telephone,13,jan,3493.0,14,840,4,unknown,yes,CY,21783,nl
BM-00048,Prof. Sahin Jockel MBA.,tcarbajo@example.com,(652)202-9357x78286,"4399 Gonzalez Crescent, Port Stephanie, NE 50139",1990-07-27,35.0,retired,divorced,primary,yes,1364.36,yes,yes,telephone,28,apr,103.0,33,478,25,success,no,PT,09106,it
BM-00049,Juan Pablo Prado Colom,victoria41@example.net,+34825 355 511,"USNV Cross, FPO AA 67673",2007-04-28,18.0,entrepreneur,married,unknown,no,2018.27,no,no,unknown,20,dec,1720.0,36,667,17,unknown,no,EE,21220,en
BM-00050,Kay-Uwe Heß,damien67@example.org,001-654-915-5061x76045,"Via Armida Arnaiz 59 Puerta 9 , Ceuta, 33638",1953-06-25,72.0,management,single,primary,unknown,4495.71,yes,yes,cellular,16,nov,639.0,37,627,23,unknown,no,RO,98346,fr
BM-00051,Tony Johnson,salandraagnolo@example.org,6163315742,"249, rue Sophie Bouvier, 81928 Grosnec",1986-02-17,40.0,management,divorced,tertiary,no,3823.33,yes,no,unknown,15,jan,3844.0,13,263,6,other,no,MT,96080,de
BM-00052,César León Bonet,denis31@example.org,+49(0)1757352358,"4102 Darren Grove, West Breannamouth, PW 85028",1952-01-18,74.0,blue-collar,divorced,primary,yes,-1021.95,yes,no,telephone,31,nov,167.0,22,902,17,failure,no,SI,57618,it
BM-00053,Pierluigi Balbi,stewartrose@example.com,001-326-595-4334x23368,"Studio 42Z, Lynch Springs, West Robert, W9 7RN",1968-06-26,57.0,technician,married,secondary,unknown,-6366.78,no,no,telephone,12,jan,,28,212,12,other,no,AT,14759,fr
BM-00054,Leopoldo Beccaria-Basadonna,jose-marivalbuena@example.com,(0121) 4960384,"21, rue de Pelletier, 72569 Sainte Patrick-les-Bains",1943-08-29,82.0,self-employed,divorced,secondary,no,43.54,yes,no,unknown,3,feb,3307.0,24,139,11,unknown,no,IE,36740,de
BM-00055,Austin Gonzales,jason09@example.org,+33 (0)5 67 22 63 86,"Cañada de Ruperta Ricart 2 Puerta 1 , Las Palmas, 38980",1956-11-24,69.0,retired,single,unknown,no,861.32,yes,yes,cellular,12,may,249.0,49,740,12,unknown,no,PL,06785,de
BM-00056,Théodore Normand,leocadia71@example.com,001-939-229-2976x11989,"Plaza Palmira Bernad 90, Las Palmas, 30347",1972-10-30,53.0,student,single,unknown,unknown,6038.25,yes,no,cellular,11,jul,,49,862,7,failure,no,FR,66348,en
BM-00057,Quirino Pombo Manrique,iainwallis@example.net,+34 928 36 38 14,"Borgo Speri, 393 Appartamento 66, 56122, San Piero A Grado (PI)",1989-09-18,36.0,unemployed,single,tertiary,yes,-1380.32,yes,no,telephone,4,jun,1441.0,46,195,13,unknown,no,PT,63155,de
BM-00058,Kenneth Iqbal,annekatrin44@example.com,+44191 496 0974,"Callejón Duilio Carranza 3, Huelva, 32690",1947-01-20,79.0,management,single,primary,yes,-3181.23,no,yes,cellular,25,dec,3245.0,38,943,20,failure,no,CY,28489,nl
BM-00059,Caterina Schuster,deborahstadelmann@example.com,+1-295-716-8425,"91 Ian Skyway, South Denise, L66 8XP",1977-05-11,48.0,self-employed,single,unknown,yes,6896.69,no,yes,unknown,20,jun,1490.0,7,237,2,success,no,MT,14265,it
BM-00060,Mrs Natalie Richards,gotthard64@example.net,+49(0)7060 888099,"29, chemin Descamps, 68831 Saint Pierre",1940-01-23,86.0,self-employed,divorced,unknown,yes,-210.29,no,no,cellular,5,apr,39.0,43,814,15,other,no,SE,03760,pl
BM-00061,Miguel Castrillo,wilhelmbiggen@example.org,001-930-466-6118x05925,"Vicolo Ossani, 27 Appartamento 96, 20811, Cesano Maderno (MB)",1969-08-14,56.0,retired,single,unknown,unknown,-2067.2,no,yes,unknown,13,may,637.0,9,374,13,failure,no,HU,88298,pt
BM-00062,Jennifer Munoz,brandonhatfield@example.net,+34 942808008,"Benthingasse 2, 57910 Düren",2000-02-04,26.0,self-employed,single,secondary,yes,-1727.64,yes,yes,unknown,3,may,1084.0,9,754,6,success,no,FI,89954,pt
BM-00063,Dionisia Silva Palomares,fiolnoa@example.net,6862091456,"Stretto Pascarella, 27 Appartamento 0, 50064, Loppiano (FI)",1973-01-15,53.0,admin,single,secondary,no,1987.7,no,yes,telephone,9,jul,1028.0,12,157,11,other,no,HR,47539,fr
BM-00064,Patrizia Basso-Vigliotti,mike83@example.net,0375886135,"Plaza Reyes Soto 13, Cádiz, 08120",1990-12-23,35.0,services,single,secondary,unknown,2514.07,yes,no,telephone,9,feb,2747.0,7,299,21,unknown,no,BE,87246,pl
BM-00065,Aurora Gracia-Díaz,gianfrancescolegnante@example.org,+44306 999 0144,"Flat 9, Allen Summit, Daveyborough, S0S 2YS",1942-06-20,83.0,housemaid,single,tertiary,no,1852.83,yes,yes,cellular,25,oct,3028.0,8,926,20,unknown,no,DK,75263,en
BM-00066,Hanspeter Eberhardt,loefflermahmoud@example.com,+34 900 458 750,"chemin de Besnard, 93380 Maréchal-la-Forêt",1973-07-28,52.0,admin,divorced,primary,unknown,-4197.89,yes,no,unknown,24,aug,171.0,5,480,4,success,no,PL,51028,de
BM-00067,Yaiza Belda Figuerola,paulaserra@example.com,+49 (0) 1475 205714,"18223 Hawkins Coves, East Maria, ND 71735",1939-08-24,86.0,management,divorced,unknown,no,-438.64,no,yes,cellular,2,jun,1038.0,44,254,20,success,no,LT,66618,fr
BM-00068,Ferdinando Perini,marcus65@example.com,+34 928 093 932,"39, avenue de Da Costa, 06838 Saint Antoinette",1991-08-13,34.0,entrepreneur,divorced,unknown,no,-658.06,yes,yes,cellular,15,mar,1216.0,41,314,24,other,no,US,74756,en
BM-00069,Ernst Junck-Schmiedt,cordiervincent@example.com,2666438433,"Vicolo Baracca, 23, 34014, Santa Croce (TS)",1979-12-17,46.0,student,divorced,secondary,no,3590.74,no,no,unknown,9,oct,2394.0,21,186,22,failure,no,NL,88723,pt
BM-00070,Catherine Young,giorgio21@example.net,01314960272,"Urbanización Juan Bautista Berenguer 19 Puerta 1 , Madrid, 18722",1982-12-18,43.0,services,married,tertiary,yes,1986.01,yes,no,telephone,3,jul,1179.0,36,260,7,other,no,ES,75923,es
BM-00071,Gioachino Pasolini-Gilardoni,letizia43@example.net,+49(0)3090352348,"Studio 73P, Denise Motorway, East Mohammadberg, DY1 7UE",1963-02-09,63.0,management,divorced,unknown,yes,1750.25,no,yes,telephone,11,apr,2061.0,24,913,11,other,no,BG,60386,pt
BM-00072,Patricia Pottier,jlloyd@example.org,+39 37362904340,"893, boulevard de Pasquier, 50242 Saint Frédéric-les-Bains",1995-12-11,30.0,unemployed,divorced,primary,yes,4136.32,no,no,telephone,22,may,1120.0,48,630,18,other,no,MT,84428,pt
BM-00073,Elenore Heß B.Sc.,pompeopasqua@example.net,3714308314,"235 Gonzalez Valleys, Lake Ashley, IL 69577",1981-02-23,45.0,technician,single,primary,yes,4036.05,yes,yes,unknown,27,apr,593.0,48,855,2,failure,no,ES,49931,nl
BM-00074,Amanda Webb,jamesburton@example.com,344-666-8595x69622,"55, chemin Rémy, 48202 GeorgesBourg",,30.0,unemployed,married,unknown,yes,2097.56,no,yes,unknown,15,apr,3440.0,44,101,20,success,no,NL,37909,it
BM-00075,Jean Bazin,michaeldodson@example.net,01632960868,"Studio 64X, Blake Crescent, West Aimeeberg, BN0 2NL",1981-01-16,45.0,blue-collar,single,unknown,no,4910.23,yes,yes,cellular,2,aug,1160.0,49,894,19,unknown,no,IT,61219,
BM-00076,Stanley Butler,sbarragan@example.com,07428 359262,"Vial de Ana Sofía Nicolau 960 Apt. 56 , Álava, 39358",2006-06-22,19.0,retired,married,tertiary,yes,3555.01,no,yes,unknown,29,jan,234.0,35,953,12,unknown,no,DK,51663,pt
BM-00077,Rossana Bonino-Rosmini,corinnemallet@example.net,+34 845 16 94 67,"chemin de Humbert, 59203 Sainte Corinne",1941-04-30,84.0,unemployed,single,tertiary,yes,7597.95,yes,no,cellular,5,apr,3156.0,16,956,19,failure,no,SE,12431,es
BM-00078,Elmo Civaschi,aneta09@example.org,+33 1 46 37 91 61,"902, rue Delaunay, 84217 Chauveau",1954-02-13,72.0,technician,married,tertiary,unknown,,no,no,telephone,23,oct,3706.0,10,14,11,other,no,HU,98892,pt
BM-00079,Maria Hamilton,ayalajuan-francisco@example.com,+34948750950,"46 Rosemary Stravenue, New Gemmaborough, G14 5SU",2002-04-04,24.0,services,single,secondary,no,-1961.89,no,yes,telephone,6,nov,2635.0,40,697,1,unknown,no,GB,70019,pl
BM-00080,Thibault Gosselin,ogaillard@example.com,03747269165,"09 Claire Overpass, Austinstad, M7U 1HW",1986-10-05,39.0,self-employed,divorced,secondary,no,1007.37,yes,yes,cellular,2,oct,2511.0,42,413,13,failure,no,CZ,90420,fr
BM-00081,Mauricio Caballero Ríos,bonillahoracio@example.com,+44(0)808 157 0410,"Studio 69J, Lane Hills, West Clare, TW6 4ZN",1964-06-26,61.0,admin,married,primary,yes,935.34,yes,yes,cellular,28,sep,1164.0,3,486,11,failure,no,NL,90303,fr
BM-00082,Pierina Boitani,alejollorens@example.net,+39 018497194,"Karl-August-Fechner-Gasse 5264, 53954 Vohenstrauß",1947-02-14,79.0,entrepreneur,divorced,tertiary,unknown,5898.76,no,yes,cellular,16,sep,3595.0,22,516,15,unknown,no,AT,81985,es
BM-00083,Jennifer Bryan,susanlebrun@example.com,+34842619821,"Stavros-Scholz-Gasse 27/45, 89277 Passau",2001-05-28,24.0,retired,single,unknown,no,3742.23,no,no,telephone,30,jan,2768.0,13,894,15,failure,no,CZ,95755,nl
BM-00084,Cebrián Peiró Giralt,barbaragargallo@example.org,+1-988-575-4020x27400,"0268 Walker Station Apt. 562, Ivanland, PR 80421",1947-05-20,78.0,entrepreneur,divorced,primary,yes,5285.53,no,no,cellular,23,oct,3789.0,37,589,8,unknown,no,EE,62517,pt
BM-00085,Joseph Day,denise56@example.com,+39 088162515,"Canale Torquato, 57, 89017, San Giorgio Morgeto (RC)",2003-12-30,22.0,blue-collar,single,secondary,no,4781.39,no,yes,cellular,7,nov,2523.0,18,996,19,unknown,no,FR,52310,it
BM-00086,Eli Estrada Reina,helmtrud67@example.com,(569)252-4129x78491,"Kostolzinstr. 4-2, 43550 Günzburg",1968-12-02,57.0,admin,married,secondary,no,1400.11,yes,no,unknown,8,jul,1279.0,20,73,8,unknown,yes,MT,11935,pl
BM-00087,Norma Dörr B.Sc.,manzoniansaldo@example.org,+49(0) 540501745,"84077 Kennedy Causeway Suite 536, North Christopher, FM 61320",1951-06-12,74.0,unemployed,married,tertiary,unknown,4277.86,no,yes,unknown,18,apr,1552.0,33,774,23,success,no,BG,86091,en
BM-00088,Klaus Dieter Kramer,hregge@example.net,08538417542,"43, boulevard de Charles, 57796 Bernard-sur-Dupont",1983-06-08,42.0,entrepreneur,single,unknown,unknown,-2496.3,no,no,telephone,24,sep,3135.0,5,486,11,other,no,NL,93939,pt
BM-00089,Meral Tlustek-Margraf,torrenssilvia@example.org,+34 984 06 68 37,"1 Dodd Tunnel, West Charliemouth, N7T 8UW",1979-01-04,47.0,technician,single,secondary,no,854.75,no,yes,telephone,1,jan,,49,887,6,success,no,BG,74569,pl
BM-00090,Theodore Ayala,stevenserrano@example.org,03 84 98 85 87,"1, rue Michelle Laroche, 64736 Chauvet",,43.0,services,married,primary,unknown,-908.84,yes,no,unknown,16,jan,,13,983,7,failure,yes,GB,23086,de
BM-00091,Cheyenne Krause,ztena@example.com,02993820785,"Piazza Valmarana, 3 Piano 9, 63096, Capodacqua (AP)",1964-10-02,61.0,student,single,unknown,yes,-481.03,yes,yes,unknown,28,oct,514.0,33,843,11,unknown,no,CZ,78714,es
BM-00092,Vittoria Pagnotto-Luxardo,mark69@example.net,07 38 56 26 26,"Rambla Luisina Raya 3, Almería, 13747",1980-03-13,46.0,unemployed,married,primary,no,,yes,yes,telephone,5,dec,2246.0,44,663,3,unknown,no,EE,43743,pt
BM-00093,Annunziata Beffa-Villarosa,hawkinstyler@example.net,03069990090,"Incrocio Gianpaolo, 853 Piano 8, 47853, Ospedaletto (RN)",2007-07-16,18.0,self-employed,single,tertiary,unknown,-184.14,no,yes,unknown,26,sep,2117.0,1,689,21,unknown,no,LT,01719,pt
BM-00094,Lilly Junk-Gnatz,jerome96@example.net,0721149985,"Avenida Fidel Villaverde 59 Piso 9 , Asturias, 08014",1998-05-29,27.0,housemaid,single,primary,no,2943.69,yes,no,telephone,7,jan,1829.0,17,399,25,unknown,no,EE,24744,it
BM-00095,Dott. Dina Endrizzi,lvolterra@example.org,(028) 9018264,"Studio 72n, Charles Parkways, Port Vanessaview, M8W 9DS",1940-02-22,86.0,self-employed,married,unknown,yes,-768.16,yes,no,unknown,23,feb,703.0,29,466,19,other,no,SK,70402,de
BM-00096,Univ.Prof. Angelika Süßebier B.Eng.,amicoscandone@example.org,03247949931,"89, chemin Bousquet, 89488 BourdonBourg",1947-09-28,78.0,self-employed,married,tertiary,unknown,687.72,yes,yes,unknown,3,jul,2938.0,10,493,1,other,no,SK,28677,de
BM-00097,Valentina Romagnoli,utanguy@example.net,+33 (0)3 83 82 16 60,"Flat 31O, Dorothy Extensions, Jeremybury, B6 8BU",1971-07-05,0.0,unemployed,single,tertiary,no,3047.51,yes,yes,cellular,29,apr,2178.0,44,241,3,unknown,no,RO,67936,fr
BM-00098,James Ross,carlosyago@example.org,0141177956,"Borgo Maria, 819, 40030, Berzantina (BO)",,22.0,housemaid,married,secondary,unknown,1728.35,no,no,cellular,24,nov,2394.0,43,259,3,other,no,IT,18306,it
BM-00099,Vittoria Chigi,nguyentherese@example.net,07806 843342,"Plaza de Fulgencio Porras 99 Piso 4 , Toledo, 15174",2002-04-15,24.0,services,married,tertiary,no,,yes,yes,unknown,1,apr,1436.0,40,887,5,success,no,PL,26796,pl
BM-00100,Rómulo Fabricio Frías Olivé,aleach@example.com,001-454-483-9533x5761,"Acceso de Noé Lillo 55, Vizcaya, 33278",2004-02-16,22.0,student,single,secondary,unknown,2556.95,yes,no,cellular,26,dec,8.0,14,54,15,failure,no,SI,60467,pl
BM-00101,Philippe Barbier-Dumas,agiulietti@example.org,+34952 06 25 82,"75 Watson Fork, Walkerfort, L96 1JQ",1999-05-26,26.0,unemployed,married,tertiary,yes,3857.29,no,no,cellular,5,nov,,23,660,25,unknown,no,SK,42242,de
BM-00102,Eugène-Honoré Rémy,rufinatellez@example.com,+33 (0)1 39 35 44 27,"565 Davis Road, Martynborough, N5D 4DN",1986-12-17,39.0,housemaid,single,primary,unknown,6057.09,no,yes,cellular,2,sep,2920.0,40,614,5,other,no,SE,10038,it
BM-00103,Agnolo Casale,kylegoddard@example.net,+1-786-236-5271x2491,"Avenida Cruz Palomares 6 Apt. 70 , Castellón, 32867",1997-08-03,28.0,blue-collar,married,primary,yes,2856.24,yes,no,cellular,2,sep,3301.0,1,826,9,success,no,BE,03694,pl
