transaction_id,customer_id,customer_name,customer_dob,customer_email,customer_phone,customer_address,originator_account,beneficiary_account,beneficiary_name,transaction_type,amount,currency,transaction_date,originator_country,beneficiary_country,risk_score,is_suspicious,aml_flag,ip_address,device_id
TXN-000011,CUST-00089,Dipl.-Ing. Annemarie Scheuermann B.Sc.,1990-04-08,alfredo13@example.net,+39 3224902784,"Viale Maurilio, 25 Piano 6, 51034, Serravalle Pistoiese (PT)",ES6268071545168087603859,FR8470348247710932480861317,,SEPA,408.76,EUR,2025-02-15 12:36:52,PG,HU,60.6,0,CLEAR,137.218.169.179,82456fb4-4ab
TXN-000012,CUST-00776,Jacqueline Pineau,1950-02-26,brianwhite@example.com,04044 99727,"Stretto Vento, 47 Piano 3, 08017, Silanus (NU)",DE53766270289517187026,,Anselmo Soria Landa,WIRE_TRANSFER,1257.81,JPY,2024-11-13 05:34:56,HK,PT,36.6,0,CLEAR,153.112.93.229,da330aa1-541
TXN-000013,CUST-00741,Véronique Allard,1982-04-22,julian16@example.org,+34 826 724 005,"2386 George Common Suite 937, East Steven, KS 60737",DE66074821759464743671,GB21MSLS44064090974395,Neil Houghton,SWIFT,14746.98,USD,2026-01-15 05:36:10,HR,KP,12.8,0,CLEAR,180.96.126.216,a5769411-a0a
TXN-000014,CUST-00094,Stéphane Marchal,1949-04-03,jutta62@example.org,+44(0)306 999 0858,"Viale Malacarne, 21, 22079, Villa Guardia (CO)",IT67L1604817549651370985931,ES9274612004711382675869,Venceslás Ribera Cabeza,SEPA,262.77,USD,2024-12-09 04:05:28,SY,NL,24.5,0,CLEAR,145.231.67.54,71818dcf-379
TXN-000015,CUST-00477,Mohamed Koch,2001-08-20,benjamin64@example.org,513.590.0532x931,"042 Sheila Glen, North Irene, G0 3YP",GB73FIBE68117758917839,GB41XZVQ47007661771159,Samantha White,INTERNAL_TRANSFER,12317.35,EUR,2026-03-22 20:42:19,,BE,47.6,0,CLEAR,148.207.214.156,4b7e6b3c-87d
TXN-000016,CUST-00748,Bertrand Bègue,2000-01-02,pucciosalvini@example.org,0631661565,"Cuesta Bonifacio Bou 2 Piso 1 , Zaragoza, 09527",IT15B9885165604945198327315,IT11L1493689980940244550229,Anastasia Cifuentes Anglada,CASH_DEPOSIT,2878.27,GBP,2025-05-01 19:06:25,BG,CA,46.3,0,CLEAR,182.226.94.90,284bf962-574
TXN-000017,CUST-00547,Thomas Birnbaum,1951-01-09,bragadinguarino@example.com,+34 949 79 76 43,"Strada Lopresti, 18 Piano 9, 83025, Borgo Di Montoro Inferiore (AV)",GB73JGYE44510762268388,ES9051606071596966416052,Tiziana Orengo,SEPA,9089.24,EUR,2024-12-11 03:30:18,LV,DK,22.8,0,CLEAR,19.99.59.23,862268d1-668
TXN-000018,CUST-00351,Dorina Kade,1945-07-07,vianaguillermo@example.com,(02312) 43292,"Pasaje de Marisela Sanchez 695, León, 05475",FR2974490581477005411998679,IT64Z0793597820715182037788,Mirco Palmisano,SWIFT,3064.29,USD,2025-02-10 14:25:12,ZA,KP,38.2,0,CLEAR,53.167.206.172,a181c85e-ca0
TXN-000019,CUST-00778,Karl-Heinz Stiebitz,1959-08-23,nazariobertran@example.net,+34 844 546 291,"Grete-Tintzmann-Allee 96, 05423 Neuss",GB73HEEC41888059296222,ES0892706537947383473597,Laurent Gaudin du Renard,CASH_WITHDRAWAL,65934.69,JPY,2024-12-27 22:56:24,GR,,27.7,1,SAR_FILED,162.54.225.96,dfc620ce-7b0
TXN-000020,CUST-00115,Kelli Martinez,1992-03-18,jpeukert@example.com,575.806.0685,"1522 Justin Village, Hortonberg, WV 92977",FR9679010432898614341036971,GB60PTRA89324609539621,,CASH_DEPOSIT,43775.41,EUR,06/06/2025,NG,SI,26.2,0,CLEAR,193.34.166.221,fd034ada-c95
TXN-000021,CUST-00549,Amélie Bousquet,2007-01-12,klemmlinda@example.org,+49(0) 195205852,"Vial Bernardino Seco 5 Apt. 03 , Guadalajara, 21321",IT14M8740345054156676527758,DE05161692845115447962,Felicia Salvador Arnal,WIRE_TRANSFER,76443.9,USD,2025-06-06 07:09:15,SI,MT,44.8,0,CLEAR,219.72.42.118,a3b442bd-464
TXN-000022,CUST-00026,Filomena Vilalta Cuesta,1950-01-11,ibarbarigo@example.org,+44306 9990556,"Rotonda Palazzo, 71, 86025, Ripalimosani (CB)",GB02DAXF78681447394731,GB21COFW71551884422583,,CASH_DEPOSIT,46351.61,CHF,2024-06-21 07:36:50,MX,SY,43.9,0,CLEAR,196.142.53.189,
TXN-000023,CUST-00293,Kenneth Mcdonald,1949-02-22,parkeryvonne@example.net,05 55 91 25 17,"392, boulevard Bertrand Denis, 66256 Gaillard",GB21KWHL84143842498182,IT89S2299590010943969078447,Dr Kieran Price,CASH_WITHDRAWAL,-26161.23,USD,2025-11-25 20:28:10,MM,CA,12.4,0,CLEAR,92.34.127.27,5716dc2e-343
TXN-000024,CUST-01150,Paula Ojeda Pujadas,1992-01-17,meuccigioacchino@example.com,773-721-0469x632,"Studio 77, Stephenson Course, Lowebury, N00 7ZU",DE52801624565060983584,GB93MQOY84991216558523,Lolita Tartini,SWIFT,1661.04,GBP,2024-08-10 10:45:31,RO,KW,18.5,0,CLEAR,72.197.52.50,84f2fd0f-794
TXN-000025,CUST-00878,Marcantonio Metella,1967-01-15,carla58@example.net,3819470559,"Sölzerallee 3097, 23091 Arnstadt",FR3556263689702838578652785,IT93L4973348434437575844198,Marie Leleu,SWIFT,-709.55,CHF,2024-08-14 07:11:04,KW,IN,49.3,0,CLEAR,50.104.137.16,713f8f8c-ec8
TXN-000026,CUST-00284,Eugène Le Guilbert,1958-10-16,johnsantiago@example.net,+4428 9018301,"31, boulevard Barbier, 52768 Martel-sur-Mer",DE81540193802620672400,DE24991547887287431527,Plinio Estrada-Alcalá,SWIFT,7319.42,CHF,2024-10-31 19:52:51,EE,CZ,21.3,0,CLEAR,50.225.173.104,2ced3c0d-317
TXN-000027,CUST-00097,Marguerite Fernandez,1985-10-30,lesleyturnbull@example.org,563-274-5499x045,"Rambla de Santiago Valverde 51 Piso 9 , Ceuta, 09753",FR4727956878339187851910883,,,INTERNAL_TRANSFER,37660.28,EUR,2026-01-12 21:34:40,BE,PG,76.8,1,SAR_FILED,5.80.248.219,1dc1e7eb-711
TXN-000028,CUST-00865,Beatrice Tonisto,1995-04-24,deniselegros@example.com,+39 092374064,"Rotonda Boccaccio, 171, 16043, Sant'Andrea Di Rovereto (GE)",ES6665676618251286823004,FR4286863375243106903311907,Vanessa Bellò-Gotti,SWIFT,397.87,EUR,2024-09-24 13:01:42,KP,GR,10.3,0,CLEAR,92.23.247.125,dd1d6cd1-c11
TXN-000029,CUST-00959,Univ.Prof. Kenneth Juncken B.Eng.,1960-11-02,amyhodgson@example.org,+39 35156870586,"92, rue Claude Jean, 38978 Barthelemy",GB94RNNR82634351751830,,,SWIFT,280.15,EUR,2024-08-07 20:49:04,XX,LU,26.6,0,CLEAR,34.135.242.119,966be275-c2f
TXN-000030,CUST-01100,Stuart Taylor,1960-12-08,sharonhayden@example.org,+34977393638,"Reinhardtweg 64/94, 71753 Helmstedt",FR0209320489964235369378547,ES2977252287280801006231,Adalberto Gil Vega,INTERNAL_TRANSFER,2448.97,EUR,2025-08-30 23:34:35,KP,,33.0,0,CLEAR,62.236.209.30,883f13c6-01b
TXN-000031,CUST-00602,Denise Madden,1974-06-21,gescobar@example.org,+39 0471398456,"Herta-Hecker-Ring 20, 66870 Viersen",GB54CPNU59180339740148,IT56V0250392614293968562185,David Jones,ACH,878.43,USD,2025-02-21 23:25:03,YE,PT,50.5,0,CLEAR,188.177.202.148,c8969c5b-45f
TXN-000032,CUST-00033,Ida Gotthard-Stiffel,1985-03-31,lauren11@example.com,0141 4960265,"Therese-Jäntsch-Straße 34/21, 67888 Burglengenfeld",GB78CLRC99560466183982,ES6462244472126464715437,Emma Satriani,SWIFT,1481.47,USD,2025-04-20 21:03:09,CA,DE,24.6,0,CLEAR,64.110.224.103,614077d3-9ec
TXN-000033,CUST-00612,Christiane Ribeiro Le Marion,1953-12-23,walentinakruschwitz@example.com,(07935) 64651,"Viale Isabella, 287, 33022, Piano D'Arta (UD)",GB23IVEW66179796886805,ES6189113529096561014388,Tiziana Galvani,INTERNAL_TRANSFER,1980.2,JPY,2025-03-15 01:48:19,AT,KP,23.5,0,CLEAR,61.162.211.223,2697384d-801
TXN-000034,CUST-00314,William Legros,1948-03-18,pablomesa@example.com,+33 6 99 57 17 75,"51238 Andrea Isle, Mullenbury, AS 53591",ES4122660937966033419182,DE97537147859696915579,Dr Mohammad Wright,CASH_WITHDRAWAL,330.71,USD,2026-04-26 07:16:25,ZA,SE,7.1,0,CLEAR,71.139.11.159,5f90fc87-2ed
TXN-000035,CUST-00032,Christine Bruneau,1969-02-01,frederiquebrun@example.com,+49 (0) 2579 050723,"86, rue Émile Moreno, 04914 Klein",GB06IHRJ27978819148580,ES2878361340745171339596,Brian McKenzie,SWIFT,1540.63,GBP,2024-08-08 18:15:30,HK,SG,37.0,0,CLEAR,165.156.240.176,2b1ac76c-89e
TXN-000036,CUST-00744,Leila Hethur,2007-05-02,cerdamaricela@example.com,822-832-5367x294,"7, chemin de Lemonnier, 47565 MilletVille",ES3117518636374545892975,ES3300170127706324241541,Herr Hans-Theo Schomber,INTERNAL_TRANSFER,16937.12,GBP,2026-04-12 15:23:20,FR,PT,12.0,0,CLEAR,183.126.27.56,185df528-b42
TXN-000037,CUST-00494,Darrell Frazier,1940-11-13,loechelhenri@example.org,+33 (0)3 71 61 11 55,"Florence-Stey-Platz 18, 75326 Fürstenwalde",GB39DEYD96565234138999,DE82043898364037613791,Michelotto Mercalli,SWIFT,1083.12,EUR,2024-09-30 09:37:33,RO,,29.0,0,CLEAR,58.239.109.155,c34201db-2c3
TXN-000038,CUST-00996,Austin Baker,2003-01-21,lorraine86@example.com,+34945 188 924,"85691 Hale Stream, North John, NE 15703",FR5899042102027588425241056,,,INTERNAL_TRANSFER,167.38,EUR,2026-03-25 17:02:23,BE,LB,8.9,0,CLEAR,12.53.10.176,13badc91-a0a
TXN-000039,CUST-00258,Jakob Rosenow,1965-04-28,ruppersbergergundi@example.net,880.400.3075,"Flat 53, Chadwick Island, Martinshire, CM8 2JW",GB06MCOJ45187053494937,DE17973832060385050641,,CASH_DEPOSIT,6019.19,CHF,2025-03-26 00:20:14,PG,HK,32.0,0,CLEAR,11.207.136.210,f8f9a45d-0f5
TXN-000040,CUST-00543,David Bruce,1987-12-23,fweinhold@example.net,726.719.9062x34456,"4, boulevard Nicolas, 20208 Lebreton",FR5356185374741124903521356,IT15B4420678831712100323651,,SWIFT,16877.7,JPY,2025-09-29 08:22:40,BR,GR,21.7,0,CLEAR,132.204.151.12,e709fba6-329
TXN-000041,CUST-01105,Maria Blake,1943-10-06,fperuzzi@example.org,03 24 53 24 47,"476 Long Harbors, Khanborough, WV8H 6QU",IT81Z7598564205930407859321,GB14VHIR03965223955905,,INTERNAL_TRANSFER,9051.28,USD,2025-03-17 10:03:12,US,DK,49.0,0,CLEAR,1.96.96.41,7d8d3ddd-2cf
TXN-000042,CUST-00818,Jamie Brown,1940-05-13,olgaceschi@example.com,+34 855002921,"Canale Petrassi, 65, 00026, Licenza (RM)",ES6275289539264422096902,IT95K9391725135521570433154,,SEPA,749.44,GBP,2024-07-02 10:22:38,SY,SK,24.2,0,CLEAR,177.138.108.137,f8170ebf-6b6
TXN-000043,CUST-00925,Marine Morvan,1947-03-21,isaacsauvage@example.org,705-941-1526x2181,"Ronda Faustino Baeza 6 Apt. 36 , Sevilla, 19449",DE39310698720506149731,GB67GFUJ17146774186256,Dipl.-Ing. Anatol Hesse,WIRE_TRANSFER,2393.49,USD,2026-02-02 15:34:09,LB,SG,24.2,0,CLEAR,23.61.96.113,c0927b74-26b
TXN-000044,CUST-00693,Rhonda Gutierrez,1955-10-16,acardenas@example.net,+34 977 937 416,"Pasaje Fulgencio Diego 33, Las Palmas, 06135",ES4963294511686854870998,FR8216229991191485646799702,,WIRE_TRANSFER,4928.42,JPY,2025-08-28 01:45:53,CZ,NL,10.0,0,CLEAR,57.181.199.101,
TXN-000045,CUST-00452,Herr Petar Mülichen B.Eng.,1941-09-11,karl-juergen71@example.org,(0121) 4960754,"Pasaje Héctor Ramírez 68, Málaga, 11418",GB49JWQM28902330307053,DE75578610357972798552,Friedhelm Baum,WIRE_TRANSFER,329.0,EUR,2025-02-10 14:52:36,BR,CZ,32.1,0,CLEAR,77.183.101.74,34ec5264-ad7
TXN-000046,CUST-00139,Agnolo Sgalambro,1984-05-04,garronegiosue@example.net,(04665) 74374,"Pasadizo Gloria Perelló 599, Soria, 08084",FR4815454443283096520744666,ES7009935387584282417248,Mohammed Waters,WIRE_TRANSFER,730.63,EUR,2025-08-16 11:20:40,IR,CZ,14.3,0,CLEAR,51.167.72.250,5f269466-54d
TXN-000047,CUST-00488,Noël Vincent,1980-01-02,sermontiveronica@example.org,+39 375768460,"Studio 72, Taylor Falls, South Brettburgh, RH0 7LH",GB55SYFP12966667600835,GB63KYQG00335421689421,Earl Luna,CASH_WITHDRAWAL,664.98,CHF,2025-06-29 05:58:21,NL,CH,42.4,0,CLEAR,14.240.74.243,ff02f5b0-57b
TXN-000048,CUST-00271,Nicole Brown,1989-10-07,danielwright@example.org,(306)848-9090x100,"chemin de Reynaud, 89256 Lemonnier",ES8304618499261891411739,GB21YIQG56420873753001,,SEPA,707.54,JPY,2025-01-14 22:14:32,DK,HK,40.1,0,CLEAR,175.243.236.208,82ff1f2e-c78
TXN-000049,CUST-00498,Maria Bryant,1958-04-13,limorgan@example.com,(05611) 00225,"Petar-Karz-Platz 76, 46762 Deggendorf",ES1502169797296590277167,GB09CIUK08993588916375,,INTERNAL_TRANSFER,547.27,CHF,2025-10-08 01:11:54,MX,AU,44.2,0,CLEAR,152.161.209.137,e45e2ad0-8ee
TXN-000050,CUST-00194,José Antonio Soria Valcárcel,1945-05-30,olivier54@example.org,+39 09316631791,"8, rue de Henry, 51522 Saint Valérie",GB97ZTTU48837550375899,FR8357113055488510272614933,,WIRE_TRANSFER,2332.28,CHF,2024-06-06 08:39:18,??,SE,38.2,0,CLEAR,207.36.166.234,30c9c51f-c80
TXN-000051,CUST-00957,Timothée Maillet,1948-09-12,ldelmas@example.net,+44161 4960080,"Vicolo Fedele, 671 Appartamento 64, 60038, San Paolo Di Jesi (AN)",GB88ENTW84858333945228,IT91W5158799684608106200342,Camilla Bolander,INTERNAL_TRANSFER,38728.35,EUR,2024-12-30 08:31:01,US,CY,22.0,0,CLEAR,163.67.150.114,73dd3bc6-d06
TXN-000052,CUST-00202,Teresa de Porcel,1975-01-23,jimena06@example.com,0178043973,"Cañada Vidal Elías 3, Valencia, 34675",GB62MBNI84229405720259,GB16YUTV47985158328182,Océane Morin-Lévêque,WIRE_TRANSFER,394.48,CHF,2025-07-21 13:21:09,NG,MM,18.8,0,CLEAR,218.158.202.45,
TXN-000053,CUST-00013,Dr Leonard West,1940-12-01,victor-manuel39@example.net,+44(0)113 4960561,"90, boulevard Suzanne Grégoire, 57598 Sainte Manon",GB59KQCD28801336138612,GB49OWKB11024819346676,Agnès Perrier,CASH_DEPOSIT,13908.44,USD,2025-01-16 01:21:45,LB,LT,15.2,0,CLEAR,64.96.165.224,c186a221-103
TXN-000054,CUST-00018,Gastón Valverde Camino,1993-10-30,holzapfelkreszentia@example.com,01 56 72 83 26,"Canale Palombi, 8, 89015, Palmi (RC)",IT71T6881435368222394312908,,Arnaude Charpentier-Leconte,ACH,640.48,USD,2025-06-29 06:37:36,HK,GB,16.1,0,CLEAR,115.40.159.88,54b2a582-f39
TXN-000055,CUST-00155,Aureliano del Baños,1961-12-05,laetitia49@example.org,3915620534,"Misicherstraße 94/27, 91428 Grimma",ES4911080996930848872563,IT42X4278816580392827229927,Emanuel Wesack,ACH,4224.1,USD,2024-07-30 03:50:05,LB,RO,72.4,0,CLEAR,116.58.206.135,34ef2552-ab2
TXN-000056,CUST-01108,Isa Metz-Bien,2006-12-31,tlustekwendelin@example.net,+34885498926,"Pasadizo José Peñalver 78 Piso 5 , Zamora, 32595",IT92A8272318432225913651777,,Jonathan Miah,INTERNAL_TRANSFER,7124.94,EUR,2026-02-19 13:50:47,ES,MM,44.4,0,CLEAR,66.194.224.119,227d4660-293
TXN-000057,CUST-00485,Arsenio Dellucci,2003-01-17,ozarlino@example.org,+34 887 13 79 77,"Studio 29, Sara Shoals, Mohammedmouth, PH91 6RF",GB10AGQQ62912799088117,ES2229806865086376599162,Dr. Therese Carsten B.Eng.,CASH_DEPOSIT,-844.98,CHF,2025-05-06 23:26:10,BE,PG,38.8,0,CLEAR,221.19.162.64,be5f902f-b58
TXN-000058,CUST-00438,Jaime Harris,1968-02-14,ronaldrichards@example.com,09225946382,"Rustring 3-2, 72138 Höxter",IT19T0260127961143519066984,ES8190277038430988392053,Cayetano Bolaños Llorente,INTERNAL_TRANSFER,385.5,CHF,2025-06-23 17:01:17,JP,AU,30.2,0,CLEAR,57.74.6.92,03ef0f77-848
TXN-000059,CUST-00777,Molly Hansen,1963-12-28,edeltrautgude@example.com,+33 (0)3 90 26 81 81,"Stretto Girolamo, 87 Piano 7, 91017, Pantelleria (TP)",GB54PDIC63356588043416,ES1651827553942373334333,Dr Martin Marsh,WIRE_TRANSFER,14.3,CHF,2025-09-23 11:35:24,ES,,53.0,0,CLEAR,223.195.233.24,8a9e0964-db6
TXN-000060,CUST-00585,Jeanette Ruppert,1973-09-11,paride39@example.org,267.280.8562x71875,"Alameda Porfirio Jover 58 Apt. 47 , Huesca, 13052",FR6363655647292931438663227,GB63FNPE88574489061203,Univ.Prof. Apollonia Mende B.Eng.,ACH,1622.45,JPY,2026-01-06 22:56:34,HU,CA,7.1,0,CLEAR,48.126.102.82,59e110eb-1f0
TXN-000061,CUST-00389,Gerard Brooks,1952-03-10,martin87@example.net,+33 (0)5 24 94 72 25,"rue Le Goff, 29421 Guibert",DE23496475987622023413,GB22MDDC78006811492164,Jean Williams,CASH_WITHDRAWAL,25361.54,USD,2026-04-01 00:55:32,LB,FI,30.8,0,CLEAR,74.235.61.196,dc412176-5b5
TXN-000062,CUST-01111,Laetitia Lévy-Hebert,2006-04-01,domitilasaura@example.net,+34 968845783,"4240 Alexandra Trace Apt. 547, Lake Sandrafort, ME 01698",FR6149308536866326634163894,,Henriette Graf,WIRE_TRANSFER,197.02,GBP,2026-01-18 19:29:21,ES,,59.3,0,CLEAR,98.81.23.87,73e88db6-9e2
TXN-000063,CUST-01197,Isaac de Fernandes,2006-04-05,teresacampbell@example.org,+34960312073,"Köhlerstraße 5, 20461 Eisleben",GB21IMAD36730371837645,GB76UXBX88147435031365,Donald Wilson,ACH,7897.05,JPY,2025-09-21 04:22:39,ES,ES,56.2,0,CLEAR,66.176.4.245,b03b6934-79a
TXN-000064,CUST-00117,Jonathan Parks,2003-08-14,barredapelayo@example.net,+44(0)292018812,"457, avenue Pelletier, 92237 Fournier",FR1278487392855749821827448,DE53708620959351863878,Patrick Stanley,SWIFT,2345.83,EUR,2024-08-18 17:16:21,SG,GR,36.3,0,CLEAR,38.41.16.47,
TXN-000065,CUST-00140,Beverly Russo,1947-08-07,higginsjemma@example.com,+34979 899 405,"7 Jade Unions, West Nicolechester, TQ0 8BD",DE40138113863383928861,ES6895761228685289755855,Margot Raynaud,SEPA,2679.22,USD,2025-08-21 19:23:22,PL,NL,16.7,0,CLEAR,1.109.135.253,be9cafcf-ed1
TXN-000066,CUST-00039,Nicole Martin,1942-09-04,pohlfranz-josef@example.com,233-950-4888x9921,"Kobeltstr. 2344, 93157 Neustadt am Rübenberge",ES4491940961055661390604,IT86B5892583206799813646225,,CASH_DEPOSIT,390.69,JPY,2025-01-15 11:31:31,MT,PT,11.6,0,CLEAR,17.147.244.220,6605de3c-15c
TXN-000067,CUST-00168,Rico Cepeda Terrón,1953-10-16,gabriellechauvet@example.net,+39 048114659,"Acceso de Graciano Montes 19 Piso 2 , Salamanca, 29980",IT78E7033521103924051477053,ES5383388487920698042043,Elba Amelia Sola Aguirre,ACH,27558.53,JPY,2025-03-10 21:19:04,IT,IR,96.5,1,ESCALATED,49.93.38.50,5c375254-a8f
TXN-000068,CUST-00535,Cristina Pintor Verdugo,1947-02-03,ischenk@example.org,01174960878,"Pasadizo Marcos Múgica 36, Huelva, 45847",DE35543840460843256216,,,CASH_DEPOSIT,32.55,GBP,2024-05-11 10:30:01,SG,SI,61.8,0,CLEAR,203.186.56.184,6d2ccf42-271
TXN-000069,CUST-00811,Kerstin Eigenwillig B.A.,1949-09-28,sophiacicala@example.com,+34 985 26 29 25,"52056 Turner Summit, Edwinborough, CT 17742",GB32AYTT49993933051728,IT93P5267722330604633312797,Teresita Seco Huerta,CASH_DEPOSIT,116.11,GBP,2026-02-21 01:04:21,RO,HU,52.1,0,CLEAR,34.173.72.31,b85f164b-616
TXN-000070,CUST-00149,Martirio Zapata-Arenas,1947-10-03,moulindiane@example.net,+33 (0)5 33 80 34 76,"Sigismund-Hornig-Weg 8, 77181 Rothenburg ob der Tauber",ES5782665702793714521117,ES7651868926860259222206,Monique Wilmsen,WIRE_TRANSFER,66899.34,CHF,2025-02-09 10:05:21,CA,SI,65.9,1,ESCALATED,43.144.134.16,33ee16e7-f5d
TXN-000071,CUST-00151,Hermann Oestrovsky,1977-04-11,lyoung@example.net,05 55 71 99 03,"Via Enrico, 5, 87054, Saliano (CS)",DE32101622499982795014,,Tania Kramer,SWIFT,531.09,USD,2025-07-26 06:27:25,PG,AT,28.9,0,CLEAR,178.19.223.104,b1d29457-1f3
TXN-000072,CUST-00272,Françoise de la Raymond,1947-10-02,tomaslourdes@example.net,07659548928,"Urbanización Leandra Manrique 20 Apt. 71 , Zaragoza, 41324",FR7560558303441448850155699,GB06FGKK77027278576084,Sig.ra Paoletta Valentino,CASH_WITHDRAWAL,61108.67,USD,2024-12-23 23:33:15,KW,HU,8.7,0,CLEAR,101.169.215.28,47cc3a66-263
TXN-000073,CUST-00584,Danielle Masse-Seguin,1953-01-22,janet50@example.com,+33 (0)7 93 57 43 84,"Flat 3, Louise Parkways, Port Pamelahaven, L57 5FE",IT45V2307681040915701840943,DE61334485714224109881,Clive Parry,CASH_DEPOSIT,-114.02,CHF,2024-12-31 05:53:08,RO,EE,40.1,0,CLEAR,82.33.14.214,4fb67094-123
TXN-000074,CUST-00620,Annalisa Cesarotti,1972-04-30,camachorodolfo@example.org,(462)399-7954x53817,"Cañada de Isaura Solana 43, Salamanca, 17911",DE03625577017157724599,GB48QDMW15814876963938,Alex Collins,SWIFT,2292.38,JPY,02/08/2026,HK,SY,20.4,0,CLEAR,166.229.251.247,8b661d1f-579
TXN-000075,CUST-01136,Rafael Torrecilla Carbó,1980-11-07,martinhanns@example.com,+33 (0)2 45 96 57 01,"2 Hill Loaf, Chapmanmouth, OL4 5DY",GB23TQME40580085140369,FR5956666832723865624220102,Máxima Rueda Cerdán,CASH_WITHDRAWAL,1312.79,EUR,2024-10-17 00:10:21,DE,VE,18.5,0,CLEAR,90.157.96.56,
TXN-000076,CUST-00237,Íngrid Imelda Escolano Santos,1969-02-27,omonnier@example.org,+33 (0)8 03 84 68 95,"Unit 9751 Box 9712, DPO AP 96353",IT16Y4781891371894905807787,,,WIRE_TRANSFER,103844.87,JPY,2026-02-09 05:53:14,IE,HU,77.6,1,SAR_FILED,189.120.246.198,4b6c14e4-cc5
TXN-000077,CUST-00432,Pilar Encarnacion Juliá Barriga,1972-06-29,lynchiain@example.net,+39 0543712814,"Piazza Caracciolo, 69 Appartamento 4, 55054, Bozzano (LU)",IT66B5129276637239504102767,DE68783667428604765801,,SEPA,47207.79,GBP,2024-08-27 20:42:03,BG,HR,34.9,0,CLEAR,155.162.97.61,45c87f41-dbb
